,,1,2,3,4,5,Ave,SD
Units,Supply,1,1,1,1,1,1,0
Units,Inspect,1,0.705882353,0.647058824,0.705882353,0.823529412,0.776470588,0.078892733
Times,Supply,0.882352941,0.764705882,0.764705882,0.941176471,0.705882353,0.811764706,0.037370242
Times,Inspect,0.823529412,1,1,1,1,0.964705882,0.024913495
Phones,Supply,0.941176471,1,0.941176471,1,0.941176471,0.964705882,0.004152249
Phones,Inspect,1,0.823529412,0.941176471,0.823529412,0.941176471,0.905882353,0.024913495
Names,Supply,0.941176471,0.882352941,0.705882353,0.882352941,0.705882353,0.823529412,0.048442907
Names,Inspect,1,1,1,0.941176471,1,0.988235294,0.002768166
Freetext,Supply,1,1,0.941176471,1,0.823529412,0.952941176,0.023529412
Freetext,Inspect,1,0.941176471,0.882352941,1,0.941176471,0.952941176,0.009688581
Emails,Supply,1,1,1,1,0.941176471,0.988235294,0.002768166
Emails,Inspect,0.941176471,0.647058824,1,1,0.705882353,0.858823529,0.114878893
Dates,Supply,0.823529412,0.823529412,0.882352941,0.823529412,0.764705882,0.823529412,0.006920415
Dates,Inspect,1,1,1,0.941176471,1,0.988235294,0.002768166
