responent,domain,t_s,t_i,c_op,c_e
1,units,19.0309999,13.7650001,45,43
2,units,17.921,14.41299987,15,1
3,units,22.51699996,18.0710001,1000,1
4,units,86.59099984,20.10599995,10,5
5,units,113.5740001,33.19000006,15,1
6,units,43.16899991,12.9749999,5,0.25
7,units,138.4679999,25.59800005,11,5
8,units,85.77799988,23.20900011,6,2
9,units,41.05599999,15.77800012,8,10
10,units,143.2159998,44.78400016,30,1.00E+05
11,units,44.37800002,21.41199994,20,50
12,units,197.6489999,29.43099999,30,2
13,units,100.809,43.92900014,10,0.5
14,units,86.93199992,28.56200004,25,10
1,times,39.73399997,18.78400016,30,20
2,times,40.97300005,24.43199992,15,1
3,times,38.30900002,22.43799996,1000,1
4,times,50.41799998,57.33200002,5,1
5,times,73.33899999,90.17399979,12,5
6,times,33.59599996,50.329,5,2
7,times,71.91600013,124.286,10,500
8,times,61.26800013,46.22899985,6,2
9,times,31.69400001,34.45899987,8,10
10,times,90.352,56.61100006,30,1000
11,times,75.31100011,80.18099999,20,100
12,times,40.4920001,51.36499977,30,3
13,times,59.37699986,104.24,8,10
14,times,38.65700006,63.75600004,25,10
1,phones,27.91199994,28.53500009,20,10
2,phones,59.61699986,18.18600011,15,1
3,phones,33.37199998,28.21200013,1000,1
4,phones,88.79399991,33.33400011,10,5
5,phones,87.72399998,43.39199996,13,3
6,phones,68.7750001,23.86599994,5,2
7,phones,103.3889999,31.90100002,10,100
8,phones,131.4519999,56.30299997,6,2
9,phones,25.53399992,17.62299991,8,10
10,phones,138.5109999,38.78000021,30,1000
11,phones,102.5179999,57.51600003,20,20
12,phones,47.00800014,98.98899984,15,2
13,phones,117.3500001,64.41499996,8,0.5
14,phones,197.8079998,96.92799997,25,10
1,dates,21.93799996,19.26600003,20,5
2,dates,48.3829999,23.22399998,15,1
3,dates,58.71899986,13.99900007,1000,1
4,dates,28.89499998,24.75300002,10,5
5,dates,48.18499994,156.6619999,13,1
6,dates,25.46999979,18.68500018,5,2
7,dates,53.5309999,130.974,10,10
8,dates,51.63999987,24.52900004,6,2
9,dates,14.06399989,28.57500005,8,10
10,dates,55.58399987,45.33299994,30,10000
11,dates,41.74699998,35.65199995,20,50
12,dates,30.31999993,23.99500012,30,5
13,dates,41.11500001,34.33599997,8,0.1
14,dates,54.79200006,88.91599989,25,10
1,emails,26.13800001,18.74100018,20,3
2,emails,32.51300001,12.296,15,1
3,emails,30.48699999,13.13700008,1000,1
4,emails,55.88199997,21.33999991,10,1
5,emails,53.35899997,38.6960001,14,1.5
6,emails,27.22900009,15.33599997,5,2
7,emails,69.73399997,31.91300011,10,5
8,emails,330.7540002,29.83200002,7,3
9,emails,24.02799988,13.96399999,8,10
10,emails,95.39899993,24.64999986,30,1000
11,emails,41.06100011,19.94899988,20,20
12,emails,49.98099995,31.86100006,15,2
13,emails,52.91300011,36.42299986,7,0.1
14,emails,53.04100013,61.17199993,25,10
1,freetext,26.23000002,11.71700001,20,3
2,freetext,32.87000012,12.98599982,15,1
3,freetext,32.59800005,12.47300005,1000,1
4,freetext,39.56200004,18.43199992,10,3
5,freetext,55.74600005,49.7809999,16,6
6,freetext,32.74699998,11.23500013,5,2
7,freetext,43.71300006,15.70799994,12,200
8,freetext,62.28299999,21.57099986,5,1
9,freetext,28.68000007,11.68300009,8,10
10,freetext,69.07200003,32.90499997,30,100
11,freetext,23.0480001,16.70799994,20,1000
12,freetext,33.40699983,46.61500001,46,3
13,freetext,45.76999998,23.88100004,7,0.1
14,freetext,59.24399996,22.62100005,25,10
1,names,23.05299997,24.62000012,20,3
2,names,20.69700003,21.81100011,15,1
3,names,16.00900006,17.93599987,1000,1
4,names,32.42600012,33.35399985,15,5
5,names,48.83800006,33.77699995,12,0.3
6,names,22.38699985,28.85400009,5,2
7,names,31.42199993,55.72399998,10,0.1
8,names,37.76099992,52.76699996,5,1
9,names,16.45799994,25.90799999,8,10
10,names,33.4690001,46.19799995,30,10
11,names,51.08699989,29.64600015,20,50
12,names,23.0079999,21.29999995,24,3
13,names,25.53600001,51.58200002,8,0.2
14,names,29.18900013,35.42700005,25,10
